Wavelength (nm),Transmissance
900.0, 2.464
899.0, 2.473
898.0, 2.478
897.0, 2.483
896.0, 2.487
895.0, 2.492
894.0, 2.497
893.0, 2.501
892.0, 2.506
891.0, 2.512
890.0, 2.512
889.0, 2.518
888.0, 2.524
887.0, 2.528
886.0, 2.532
885.0, 2.530
884.0, 2.529
883.0, 2.527
882.0, 2.526
881.0, 2.525
880.0, 2.524
879.0, 2.522
878.0, 2.521
877.0, 2.515
876.0, 2.509
875.0, 2.498
874.0, 2.483
873.0, 2.473
872.0, 2.454
871.0, 2.441
870.0, 2.419
869.0, 2.394
868.0, 2.363
867.0, 2.338
866.0, 2.304
865.0, 2.270
864.0, 2.235
863.0, 2.193
862.0, 2.158
861.0, 2.114
860.0, 2.074
859.0, 2.026
858.0, 1.987
857.0, 1.936
856.0, 1.896
855.0, 1.852
854.0, 1.814
853.0, 1.772
852.0, 1.735
851.0, 1.699
850.0, 1.660
849.0, 1.627
848.0, 1.590
847.0, 1.558
846.0, 1.524
845.0, 1.495
844.0, 1.463
843.0, 1.437
842.0, 1.409
841.0, 1.385
840.0, 1.360
839.0, 1.339
838.0, 1.319
837.0, 1.298
836.0, 1.281
835.0, 1.263
834.0, 1.249
833.0, 1.236
832.0, 1.223
831.0, 1.211
830.0, 1.200
829.0, 1.191
828.0, 1.182
827.0, 1.175
826.0, 1.169
825.0, 1.162
824.0, 1.156
823.0, 1.151
822.0, 1.145
821.0, 1.138
820.0, 1.132
819.0, 1.126
818.0, 1.118
817.0, 1.110
816.0, 1.102
815.0, 1.094
814.0, 1.086
813.0, 1.076
812.0, 1.069
811.0, 1.060
810.0, 1.052
809.0, 1.044
808.0, 1.038
807.0, 1.031
806.0, 1.024
805.0, 1.018
804.0, 1.012
803.0, 1.007
802.0, 1.002
801.0, 0.998
800.0, 0.995
799.0, 0.990
798.0, 0.988
797.0, 0.985
796.0, 0.983
795.0, 0.981
794.0, 0.979
793.0, 0.977
792.0, 0.976
791.0, 0.975
790.0, 0.973
789.0, 0.971
788.0, 0.970
787.0, 0.968
786.0, 0.966
785.0, 0.964
784.0, 0.962
783.0, 0.958
782.0, 0.956
781.0, 0.953
780.0, 0.949
779.0, 0.946
778.0, 0.942
777.0, 0.937
776.0, 0.933
775.0, 0.928
774.0, 0.922
773.0, 0.917
772.0, 0.911
771.0, 0.905
770.0, 0.899
769.0, 0.892
768.0, 0.885
767.0, 0.878
766.0, 0.870
765.0, 0.862
764.0, 0.852
763.0, 0.844
762.0, 0.835
761.0, 0.824
760.0, 0.813
759.0, 0.803
758.0, 0.791
757.0, 0.780
756.0, 0.768
755.0, 0.757
754.0, 0.745
753.0, 0.732
752.0, 0.719
751.0, 0.707
750.0, 0.693
749.0, 0.681
748.0, 0.668
747.0, 0.654
746.0, 0.641
745.0, 0.628
744.0, 0.615
743.0, 0.604
742.0, 0.590
741.0, 0.579
740.0, 0.568
739.0, 0.555
738.0, 0.545
737.0, 0.535
736.0, 0.524
735.0, 0.514
734.0, 0.504
733.0, 0.495
732.0, 0.487
731.0, 0.478
730.0, 0.470
729.0, 0.463
728.0, 0.455
727.0, 0.448
726.0, 0.441
725.0, 0.435
724.0, 0.428
723.0, 0.422
722.0, 0.416
721.0, 0.411
720.0, 0.405
719.0, 0.400
718.0, 0.395
717.0, 0.390
716.0, 0.385
715.0, 0.380
714.0, 0.376
713.0, 0.371
712.0, 0.367
711.0, 0.363
710.0, 0.359
709.0, 0.354
708.0, 0.350
707.0, 0.347
706.0, 0.343
705.0, 0.339
704.0, 0.335
703.0, 0.332
702.0, 0.328
701.0, 0.325
700.0, 0.321
####,####
 Gain : ,4
 Light Source : ,2
 Mode : ,D2 lamp
 Time : ,22/02/2016-15:53:25
####,####
